id,name,town,street,instituted_on,gender,ethnicities,closed_on,notes,
92,Harmony,East Bridgewater,Union St.,2/20/1893,Mixed,,,,
93,Germania,Boston,133 Shawmut Ave,2/26/1893,Mixed,German,,,
94,Loyola,Boston,Union Hall,3/6/1893,Men,,1897,,
95,Columbia,Roxbury,Columbus Ave,3/28/1893,Men,,,,
96,Sacred Heart,Middleboro,Main St.,5/10/1893,Mixed,,,,
97,St. Anthony,Medway,Broad Street,5/23/1893,Mixed,,,,
98,Onota,Pittsfield,Melville St.,7/31/1893,Mixed,,,,
99,Mt. Hope/St. Ignatius,Roslindale,41 Poplar St.,11/2/1893,Men,,,,
100,McCafferty,Worcester,112 Front Street,3/28/1894,Men,,,,
101,Greylock,Adams,33 Centre St.,4/16/1894,Mixed,,1926,,
102,St. Rose,Brockton,Main Street,6/15/1894,Women,,,First Women's Court,
103,St. Elizabeth,Taunton,Broadway,6/22/1894,Women,,,,
104,Springfield,Springfield,192 Pearl Street,7/23/1894,Men,,,,
105,St. Cecilia,Boston,133 Shawmut Ave,9/6/1894,Women,German,,,
106,St. Clare,Boston,17 Worcester Street,9/20/1894,Women,,,,
107,Notre Dame,South Boston,Broadway,9/24/1894,Women,,,,
108,St. Agnes,Hyde Park,River St.,11/21/1894,Women,,,,
109,St. Theresa,Peabody,Main Street,11/21/1894,Women,,,,
110,St. Veronica,Plymouth,Middle St.,12/14/1894,Women,,,,
111,St. Valerian,Springfield,194 Pearl St.,12/15/1894,Women,,,,
112,Isabella,Holyoke,464 High St.,2/3/1895,Women,,,,
113,St. Jerome,Boston,17 Worcester Street,2/21/1895,Mixed,,,,
114,Alma Mater,E. Boston,Central Square,3/22/1895,Women,,1926,,
115,St. Joan of Arc,Rockland,Union St,3/24/1895,Women,,,,
116,Martha Washington,West Lynn,31 Market Square,4/7/1895,Women,,,,
117,St. Bridget,Wayland,Church State Rd.,6/30/1895,Men,,,,
118,St. Othilia,Boston,153 Shawmut St.,6/30/1895,Women,"German, Irish",,,
119,St. Boniface,Boston,133 Shawmut Ave.,10/27/1895,Men,German,,,
120,University,Cambridge,698 Mass Ave.,11/3/1895,Mixed,,,,
121,St. Beatrice,Bridgewater,Central Square,11/24/1895,Women,,,,
122,St. Matthew,Natick,Main Street,12/17/1895,Mixed,,,,
123,St. Ursula,New Bedford,100 High Street,12/12/1895,Women,,,,
124,St. Loretta,Worcester,112 Front Street,12/27/1895,Women,,,,
125,St. Aloysius,Boston,133 Shawmut Ave.,1/1/1896,Men,Largely German,,,
126,Bunker Hill,Charlestown,14 Green St.,2/14/1896,Mixed,,,,
127,St. Paul,West Roxbury,Rockland Street,2/20/1896,Mixed,"German, Irish",,,
128,Abraham Lincoln,Gloucester,191 1/2 Main St.,3/20/1896,Women,,,,
129,Bay State,Chelsea,220 Broadway,4/17/1896,Men,,,,
130,Annunciation,Danvers,Maple Street,5/15/1896,Women,,,,
131,St. Stephen,Roxbury,184 Dudley Street,5/27/1896,Men,,,,
132,St. Nicholas,Plymouth,Cherry St.,5/13/1896,Mixed,,,,
133,Windhorst,New Bedford,746 Pleasant St.,8/23/1896,Mixed,German,,,
134,Hugh O'Brien,Somerville,Union Square,9/23/1896,Mixed,,,,
135,St. Genevieve,Brighton,Market Street,11/5/1896,Women,,,,
136,Fr. Conway,Salem,Washington Street,11/12/1896,Women,,,,
